gender,age,age_o,race,race_o,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match
female,21,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,35,20,20,20,0,5,6,8,8,8,8,6,15,20,20,15,15,15,6,8,8,8,7,6,9,7,7,6,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,6,0,1,0,0
female,21,22,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,60,0,0,40,0,0,7,8,10,7,7,5,15,20,20,15,15,15,6,8,8,8,7,7,8,7,8,5,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,5,1,1,0,0
female,21,22,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',2,4,Law,19,18,19,18,14,12,10,10,10,10,10,10,15,20,20,15,15,15,6,8,8,8,7,5,8,9,8,5,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,?,1,1,1,1
female,21,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,30,5,15,40,5,5,7,8,9,8,9,8,15,20,20,15,15,15,6,8,8,8,7,7,6,8,7,6,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,6,0,1,1,1
female,21,24,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',2,4,Law,30,10,20,10,10,20,8,7,9,6,9,7,15,20,20,15,15,15,6,8,8,8,7,5,6,7,7,6,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,6,0,1,1,1
female,21,25,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,50,0,30,10,0,10,7,7,8,8,7,7,15,20,20,15,15,15,6,8,8,8,7,4,9,7,4,6,4,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,5,0,0,1,0
female,21,30,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,35,15,25,10,5,10,3,6,7,5,8,7,15,20,20,15,15,15,6,8,8,8,7,7,6,7,4,6,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,5,0,1,0,0
female,21,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,15,20,20,15,15,15,6,8,8,8,7,4,9,7,6,5,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,7,0,0,0,0
female,21,28,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,50,0,25,10,0,15,7,7,8,8,8,9,15,20,20,15,15,15,6,8,8,8,7,7,6,8,9,8,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,7,0,1,1,1
female,21,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,100,0,0,0,0,0,6,6,6,6,6,6,15,20,20,15,15,15,6,8,8,8,7,5,6,6,8,10,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,6,0,1,0,0
female,24,27,European/Caucasian-American,European/Caucasian-American,2,5,law,35,20,20,20,0,5,8,7,6,9,7,4,45,5,25,20,0,5,7,5,10,8,3,5,7,8,4,6,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,6,4,0,0,0,0
female,24,22,European/Caucasian-American,European/Caucasian-American,2,5,law,60,0,0,40,0,0,7,6,10,6,6,5,45,5,25,20,0,5,7,5,10,8,3,8,5,6,6,9,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,7,3,0,0,0,0
female,24,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',2,5,law,19,18,19,18,14,12,10,10,10,10,10,10,45,5,25,20,0,5,7,5,10,8,3,5,8,9,6,3,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,6,7,0,0,1,0
female,24,23,European/Caucasian-American,European/Caucasian-American,2,5,law,30,5,15,40,5,5,9,9,9,9,9,9,45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,7,8,0,1,1,1
female,24,24,European/Caucasian-American,'Latino/Hispanic American',2,5,law,30,10,20,10,10,20,10,10,10,10,7,8,45,5,25,20,0,5,7,5,10,8,3,6,8,7,9,7,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,8,6,1,0,1,0
female,24,25,European/Caucasian-American,European/Caucasian-American,2,5,law,50,0,30,10,0,10,7,8,7,5,7,7,45,5,25,20,0,5,7,5,10,8,3,8,7,8,3,6,2,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,6,5,0,0,1,0
female,24,30,European/Caucasian-American,European/Caucasian-American,2,5,law,35,15,25,10,5,10,5,3,4,3,5,3,45,5,25,20,0,5,7,5,10,8,3,7,5,9,6,7,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,8,7,0,1,0,0
female,24,27,European/Caucasian-American,European/Caucasian-American,2,5,law,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,45,5,25,20,0,5,7,5,10,8,3,5,8,7,5,9,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,5,6,0,0,1,0
female,24,28,European/Caucasian-American,European/Caucasian-American,2,5,law,50,0,25,10,0,15,8,6,9,9,8,7,45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,5,6,0,1,1,1
female,24,24,European/Caucasian-American,European/Caucasian-American,2,5,law,100,0,0,0,0,0,6,5,7,7,9,7,45,5,25,20,0,5,7,5,10,8,3,6,7,8,7,9,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,8,7,0,1,0,0
female,25,27,European/Caucasian-American,European/Caucasian-American,8,4,Economics,35,20,20,20,0,5,7,8,6,5,8,4,35,10,35,10,10,0,8,9,8,9,8,7,9,10,7,8,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,8,7,1,0,0,0
female,25,22,European/Caucasian-American,European/Caucasian-American,8,4,Economics,60,0,0,40,0,0,6,7,10,6,6,5,35,10,35,10,10,0,8,9,8,9,8,9,7,9,8,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,8,7,0,0,0,0
female,25,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',8,4,Economics,19,18,19,18,14,12,10,10,10,10,10,10,35,10,35,10,10,0,8,9,8,9,8,7,9,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,8,7,0,0,1,0
female,25,23,European/Caucasian-American,European/Caucasian-American,8,4,Economics,30,5,15,40,5,5,7,9,8,8,8,8,35,10,35,10,10,0,8,9,8,9,8,9,7,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,8,7,0,0,1,0
female,25,24,European/Caucasian-American,'Latino/Hispanic American',8,4,Economics,30,10,20,10,10,20,6,10,8,6,?,?,35,10,35,10,10,0,8,9,8,9,8,9,10,10,10,10,10,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,9,?,0,0,1,0
female,25,25,European/Caucasian-American,European/Caucasian-American,8,4,Economics,50,0,30,10,0,10,7,6,6,6,6,6,35,10,35,10,10,0,8,9,8,9,8,8,10,10,7,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,8,?,0,0,1,0
female,25,30,European/Caucasian-American,European/Caucasian-American,8,4,Economics,35,15,25,10,5,10,6,3,5,4,5,4,35,10,35,10,10,0,8,9,8,9,8,8,9,10,7,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,8,7,0,0,0,0
female,25,27,European/Caucasian-American,European/Caucasian-American,8,4,Economics,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,35,10,35,10,10,0,8,9,8,9,8,7,9,9,8,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,8,7,0,0,0,0
female,25,28,European/Caucasian-American,European/Caucasian-American,8,4,Economics,50,0,25,10,0,15,7,7,6,8,7,7,35,10,35,10,10,0,8,9,8,9,8,9,9,9,9,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,9,7,0,0,1,0
female,25,24,European/Caucasian-American,European/Caucasian-American,8,4,Economics,100,0,0,0,0,0,5,6,8,5,8,6,35,10,35,10,10,0,8,9,8,9,8,8,7,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,?,8,7,0,0,0,0
female,23,27,European/Caucasian-American,European/Caucasian-American,1,1,Law,35,20,20,20,0,5,6,7,8,7,7,5,20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,6,7,0,0,0,0
female,23,22,European/Caucasian-American,European/Caucasian-American,1,1,Law,60,0,0,40,0,0,6,5,10,6,6,5,20,20,20,20,10,10,7,8,9,7,8,8,7,8,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,8,1,1,0,0,0
female,23,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',1,1,Law,19,18,19,18,14,12,10,10,10,10,10,10,20,20,20,20,10,10,7,8,9,7,8,4,7,8,8,6,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,4,1,0,0,1,0
female,23,23,European/Caucasian-American,European/Caucasian-American,1,1,Law,30,5,15,40,5,5,7,7,7,9,9,9,20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,10,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,8,10,1,1,1,1
female,23,24,European/Caucasian-American,'Latino/Hispanic American',1,1,Law,30,10,20,10,10,20,8,8,9,8,8,9,20,20,20,20,10,10,7,8,9,7,8,6,9,8,9,8,9,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,7,7,0,0,1,0
female,23,25,European/Caucasian-American,European/Caucasian-American,1,1,Law,50,0,30,10,0,10,6,6,7,7,8,7,20,20,20,20,10,10,7,8,9,7,8,5,10,8,4,8,2,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,4,3,0,0,1,0
female,23,30,European/Caucasian-American,European/Caucasian-American,1,1,Law,35,15,25,10,5,10,7,6,3,5,6,5,20,20,20,20,10,10,7,8,9,7,8,7,10,10,7,10,5,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,5,1,0,0,1,0
female,23,27,European/Caucasian-American,European/Caucasian-American,1,1,Law,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,20,20,20,20,10,10,7,8,9,7,8,5,9,9,5,9,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,6,6,0,0,0,0
female,23,28,European/Caucasian-American,European/Caucasian-American,1,1,Law,50,0,25,10,0,15,7,7,7,10,9,10,20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,8,8,0,1,1,1
female,23,24,European/Caucasian-American,European/Caucasian-American,1,1,Law,100,0,0,0,0,0,7,8,8,7,8,7,20,20,20,20,10,10,7,8,9,7,8,8,9,10,10,8,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,10,8,0,1,0,0
female,21,27,European/Caucasian-American,European/Caucasian-American,8,1,Law,35,20,20,20,0,5,6,8,8,8,7,6,20,5,25,25,10,15,6,3,6,10,8,5,8,8,2,2,2,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,7,5,0,0,0,0
female,21,22,European/Caucasian-American,European/Caucasian-American,8,1,Law,60,0,0,40,0,0,6,7,10,7,6,5,20,5,25,25,10,15,6,3,6,10,8,8,6,6,5,5,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,6,4,1,0,0,0
female,21,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',8,1,Law,19,18,19,18,14,12,10,10,10,10,10,10,20,5,25,25,10,15,6,3,6,10,8,4,6,8,8,6,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,6,5,1,0,1,0
female,21,23,European/Caucasian-American,European/Caucasian-American,8,1,Law,30,5,15,40,5,5,6,8,6,8,10,10,20,5,25,25,10,15,6,3,6,10,8,8,5,5,7,7,9,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,8,2,1,1,1,1
female,21,24,European/Caucasian-American,'Latino/Hispanic American',8,1,Law,30,10,20,10,10,20,5,9,9,7,9,5,20,5,25,25,10,15,6,3,6,10,8,6,7,7,5,4,8,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,7,4,0,0,0,0
female,21,25,European/Caucasian-American,European/Caucasian-American,8,1,Law,50,0,30,10,0,10,5,8,7,7,7,7,20,5,25,25,10,15,6,3,6,10,8,5,6,7,5,7,8,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,7,3,0,1,0,0
female,21,30,European/Caucasian-American,European/Caucasian-American,8,1,Law,35,15,25,10,5,10,2,3,4,4,5,3,20,5,25,25,10,15,6,3,6,10,8,6,6,8,5,5,6,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,6,3,0,1,0,0
female,21,27,European/Caucasian-American,European/Caucasian-American,8,1,Law,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,20,5,25,25,10,15,6,3,6,10,8,5,5,7,6,7,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,6,4,0,1,0,0
female,21,28,European/Caucasian-American,European/Caucasian-American,8,1,Law,50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,9,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,9,4,0,1,1,1
female,21,24,European/Caucasian-American,European/Caucasian-American,8,1,Law,100,0,0,0,0,0,3,10,7,7,10,5,20,5,25,25,10,15,6,3,6,10,8,9,6,7,9,6,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,?,10,3,0,1,0,0
female,23,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,1,1,law,35,20,20,20,0,5,7,9,8,9,8,4,10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,6,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,6,6,0,1,0,0
female,23,22,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,1,1,law,60,0,0,40,0,0,6,8,10,6,7,6,10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,7,6,0,1,0,0
female,23,22,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,1,law,19,18,19,18,14,12,10,10,10,10,10,10,10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,6,2,1,0,1,0
female,23,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,1,1,law,30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,9,4,0,1,1,1
female,23,24,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',1,1,law,30,10,20,10,10,20,9,7,9,7,9,6,10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,4,3,1,0,1,0
female,23,25,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,1,1,law,50,0,30,10,0,10,6,6,8,8,8,7,10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,2,2,0,0,1,0
female,23,30,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,1,1,law,35,15,25,10,5,10,5,6,8,4,5,4,10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,4,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,8,7,0,1,0,0
female,23,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,1,1,law,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,3,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,5,5,0,0,0,0
